SKU,qty,price,regular_price
9001700042,2,,327500
9001700166,3,,299350
9001700165,2,,265800
9001700072,2,,162550
47000100009,4,,36990
9001700043,1,,355600
47000200021,1,,9990
47001100007,1,,10990
47001400057,2,,22990
47001400056,3,,18990
1000100288,25,,30620
5000900242,3,,59990
1000100716,12,,134700
1000100836,2,,23610
1000101288,9,12420,28640
1000101355,2,,30250
1000600095,8,,90150
1001300105,58,,4100
1001300415,37,,1520
3000200278,1,,5700
3000300036,1,,40990
3000300085,1,,11990
3001300087,1,,15990
4001400001,1,,229990
5000400020,1,,52990
5000400227,1,,489900
5000400289,1,,74990
5000900051,2,,29990
5000900295,2,,42900
5000900309,3,,19000
5000900524,1,32990,49900
9000500090,1,,119700
9001600032,1,,79990
9001600173,1,,124900
9001700108,1,,324900
10000400179,1,,129550
10000400245,1,,138200
10000400388,1,,91450
13002100027,2,,35830
13002100039,2,,85230
13002200002,28,,8040
13002200005,2,,26970
13002200007,6,,56280
13002200028,257,,2300
13002300003,6,,14640
13002500016,1,,6500
13004000001,39,,13310
13004000009,1,,104830
31000900023,1,,22800
45000400098,1,,45000
1000101354,2,,9100
3000300031,1,,42500
5000900091,1,24990,44900
5000900564,1,,54900
5001100019,1,,349900
5001100064,1,,199990
5001100095,1,,429990
5001300127,1,,249900
5001300152,1,,409900
15000100001,1,,16650
15000100002,6,,20310
15000100003,12,,25250
15000100004,25,,29140
15000100007,94,,10810
15000200005,35,,16160
15000200006,57,,20540
15000200007,34,,24630
15000200008,33,,30150
15000200009,26,,35670
15000200010,4,,48840
15000200011,4,,60690
15000300001,1148,,16800
15000300002,173,,19570
15000300003,324,,25730
15000300019,739,,14200
15000300020,1,,9200
15000400058,2,,24220
15000400118,11,,32900
15000400117,39,,30900
15000400061,68,,36800
15000400062,3,,45640
15000400128,42,,10700
15000400129,71,,12320
15000400130,37,,14910
15000400131,15,,22300
15000400132,39,,26690
15000400133,18,,32460
15000400028,71,,23170
15000400127,1,,28510
15000400029,136,,31960
15000400037,1,,24500
15000400017,194,,18980
15000400018,227,,20650
15000400019,441,,24210
15000400020,659,,27620
15000400021,22,,30640
15000400002,1,,43650
15000400003,2,,56150
15000400004,5,,63950
15000400005,1,,74900
15000700001,129,,10310
15000700002,6,,11350
15000700008,13,,11840
15000700010,1,,11840
15000700012,23,,11840
15000700025,26,,11840
17000100001,1017,,3090
17000100004,652,,7700
17000200001,513,,2500
17000200002,8,,3350
17000200006,1,,1790
17000200010,903,,2750
17000200011,92,,3500
17000500005,667,,1670
17000500006,3,,2890
17000500007,186,,4340
17000500008,100,,6350
17000500001,593,,2890
17000500002,294,,4340
17000500003,529,,5780
17000500004,46,,8660
17000500009,101,,12700
18000100014,320,,2770
18000100015,279,,4170
18000100016,46,,5530
18000100027,233,,6920
18000100022,153,,8300
18000100026,117,,12160
18000200013,519,,1350
18000200006,794,,2620
18000200008,862,,3270
18000200010,677,,3920
18000200009,254,,5740
18000200001,1011,,2620
18000200002,765,,3920
18000200003,351,,5220
18000200007,242,,6530
18000200004,209,,7830
18000200011,35,,10940
18000200005,279,,5880
18000200012,3,,10440
15000200004,1,,9770
15000700021,24,,11840
18000300002,301,,5660
18000300003,356,,7030
18000300005,294,,7200
18000100001,974,,1040
18000100024,554,,1420
18000100002,887,,1870
18000100023,1613,,2280
18000100003,415,,2730
18000100004,167,,4000
18000100005,2884,,1870
18000100006,1453,,2800
18000100007,882,,3730
18000100008,137,,5460
18000100010,379,,4010
18000100011,136,,7120
17000700032,111,,17490
17000700020,59,,11840
17000700024,38,,14380
17000700019,463,,4300
17000700031,89,,5490
17000700033,412,,2470
17000700037,1651,,2470
17000700034,583,,690
17000700035,345,,1100
17000700011,489,,2470
17000700023,150,,3290
17000700036,487,,950
17000700008,335,,950
17000700009,17,,1470
17000700002,1664,,1650
17000700005,450,,2470
17000700001,849,,1650
17000700004,262,,2470
17000700003,763,,1650
17000700006,1169,,2470
17000700007,312,,1650
17000700021,168,,2060
17000700025,597,,2470
17000700012,870,,690
17000700013,2161,,1100
17000700048,1,,1450
